brand,sku,requirement,status,found_value,source,evidence
LG,DC07RH,Наличие фильтров тонкой очистки воздуха,corresponds,Есть,https://techno-more.ru/product/split-sistema-lg-dc07rh-belyy,Фильтр тонкой очистки | Есть
LG,DC07RH,Дополнительные функции,could_not_confirm,,,
LG,DC07RH,Тип внутреннего блока,could_not_confirm,,,
LG,DC07RH,Вид кондиционера,could_not_confirm,,,
LG,DC07RH,Вид блока кондиционера,could_not_confirm,,,
LG,DC07RH,Наличие антибактериального фильтра,corresponds,Есть,https://techno-more.ru/product/split-sistema-lg-dc07rh-belyy,Антибактериальный фильтр | Есть
LG,DC07RH,Мощность в режиме охлаждения,corresponds,3.2 (кВт),https://techno-more.ru/product/split-sistema-lg-dc07rh-belyy,Мощность охлаждения | 3.2 (кВт)
LG,DC07RH,Мощность в режиме нагрева,corresponds,3.5 (кВт),https://techno-more.ru/product/split-sistema-lg-dc07rh-belyy,Мощность обогрева | 3.5 (кВт)
LG,DC07RH,Площадь помещения,could_not_confirm,до 20 (м2),https://techno-more.ru/product/split-sistema-lg-dc07rh-belyy,Площадь обслуживания | до 20 (м2)
LG,DC07RH,Цвет,corresponds,Белый,https://techno-more.ru/product/split-sistema-lg-dc07rh-belyy,Цвет внутреннего блока | Белый
Hisense,AS-09UW4RYRKB05,Инверторный тип кондиционера,does_not_comply,есть,https://www.market777.ru/product/konditsioner-hisense-as-09uw4ryrkb05-zoom-dc-inverter-2023-komplekt/,Инверторная технология | есть
Hisense,AS-09UW4RYRKB05,Класс энергоэффективности (в режиме нагрева),could_not_confirm,,,
Hisense,AS-09UW4RYRKB05,Класс энергоэффективности (в режиме охлаждения),could_not_confirm,,,
Hisense,AS-09UW4RYRKB05,Наличие фильтров тонкой очистки воздуха,could_not_confirm,,,
Hisense,AS-09UW4RYRKB05,Дополнительные функции,could_not_confirm,,,
Hisense,AS-09UW4RYRKB05,Тип внутреннего блока,could_not_confirm,,,
Hisense,AS-09UW4RYRKB05,Вид кондиционера,corresponds,сплит-система,https://www.market777.ru/product/konditsioner-hisense-as-09uw4ryrkb05-zoom-dc-inverter-2023-komplekt/,Тип кондиционера | сплит-система
Hisense,AS-09UW4RYRKB05,Вид блока кондиционера,could_not_confirm,,,
Hisense,AS-09UW4RYRKB05,Наличие антибактериального фильтра,could_not_confirm,,,
Hisense,AS-09UW4RYRKB05,Мощность в режиме охлаждения,could_not_confirm,,,
Hisense,AS-09UW4RYRKB05,Мощность в режиме нагрева,corresponds,2900 Вт,https://www.market777.ru/product/konditsioner-hisense-as-09uw4ryrkb05-zoom-dc-inverter-2023-komplekt/,"Мощность обогрева, внутренний блок | 2900 Вт"
Hisense,AS-09UW4RYRKB05,Площадь помещения,corresponds,28 м2,https://www.market777.ru/product/konditsioner-hisense-as-09uw4ryrkb05-zoom-dc-inverter-2023-komplekt/,Обслуживаемая площадь | 28 м2
Hisense,AS-09UW4RYRKB05,Цвет,corresponds,Белый,https://www.market777.ru/product/konditsioner-hisense-as-09uw4ryrkb05-zoom-dc-inverter-2023-komplekt/,Цвет | Белый
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Инверторный тип кондиционера,does_not_comply,есть,https://www.market777.ru/product/nastennyy-konditsioner-energolux-sas09bn3-ai-sau09bn3-ai-le/,Инверторная технология | есть
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Класс энергоэффективности (в режиме нагрева),could_not_confirm,,,
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Класс энергоэффективности (в режиме охлаждения),could_not_confirm,,,
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Наличие фильтров тонкой очистки воздуха,could_not_confirm,,,
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Дополнительные функции,could_not_confirm,,,
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Тип внутреннего блока,could_not_confirm,,,
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Вид кондиционера,corresponds,сплит-система,https://www.market777.ru/product/nastennyy-konditsioner-energolux-sas09bn3-ai-sau09bn3-ai-le/,Тип кондиционера | сплит-система
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Вид блока кондиционера,could_not_confirm,,,
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Наличие антибактериального фильтра,could_not_confirm,,,
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Мощность в режиме охлаждения,could_not_confirm,,,
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Мощность в режиме нагрева,corresponds,2700 Вт,https://www.market777.ru/product/nastennyy-konditsioner-energolux-sas09bn3-ai-sau09bn3-ai-le/,"Мощность обогрева, внутренний блок | 2700 Вт"
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Площадь помещения,corresponds,25 м2,https://www.market777.ru/product/nastennyy-konditsioner-energolux-sas09bn3-ai-sau09bn3-ai-le/,Обслуживаемая площадь | 25 м2
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Цвет,corresponds,Белый,https://www.market777.ru/product/nastennyy-konditsioner-energolux-sas09bn3-ai-sau09bn3-ai-le/,Цвет | Белый
Hisense,AS-13UW4RXVQF00,Инверторный тип кондиционера,does_not_comply,Да,https://domkbt.ru/product/%D1%81%D0%BF%D0%BB%D0%B8%D1%82-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0-hisense-as-13uw4rxvqf00/,Инверторный компрессор | Да
Hisense,AS-13UW4RXVQF00,Класс энергоэффективности (в режиме нагрева),could_not_confirm,,,
Hisense,AS-13UW4RXVQF00,Класс энергоэффективности (в режиме охлаждения),could_not_confirm,,,
Hisense,AS-13UW4RXVQF00,Наличие фильтров тонкой очистки воздуха,could_not_confirm,Hepa H11,https://domkbt.ru/product/%D1%81%D0%BF%D0%BB%D0%B8%D1%82-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0-hisense-as-13uw4rxvqf00/,49 Дополнительные фильтры тонкой очистки в комплекте | Hepa H11
Hisense,AS-13UW4RXVQF00,Дополнительные функции,could_not_confirm,,,
Hisense,AS-13UW4RXVQF00,Тип внутреннего блока,could_not_confirm,,,
Hisense,AS-13UW4RXVQF00,Вид кондиционера,corresponds,Сплит-система,https://domkbt.ru/product/%D1%81%D0%BF%D0%BB%D0%B8%D1%82-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0-hisense-as-13uw4rxvqf00/,Вид товара | Сплит-система
Hisense,AS-13UW4RXVQF00,Вид блока кондиционера,could_not_confirm,,,
Hisense,AS-13UW4RXVQF00,Наличие антибактериального фильтра,corresponds,Да,https://domkbt.ru/product/%D1%81%D0%BF%D0%BB%D0%B8%D1%82-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0-hisense-as-13uw4rxvqf00/,39 Антибактериальный фильтр | Да
Hisense,AS-13UW4RXVQF00,Мощность в режиме охлаждения,could_not_confirm,,,
Hisense,AS-13UW4RXVQF00,Мощность в режиме нагрева,could_not_confirm,,,
Hisense,AS-13UW4RXVQF00,Площадь помещения,corresponds,40 м2,https://domkbt.ru/product/%D1%81%D0%BF%D0%BB%D0%B8%D1%82-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0-hisense-as-13uw4rxvqf00/,Обслуживаемая площадь | 40 м2
Hisense,AS-13UW4RXVQF00,Цвет,could_not_confirm,,,
